patch	channels	sample_rate	frames	pcm16_sha256
examples/multichannel/drone_multichannel_38.yaml	8	48000	48000	1c0a5b2805609a82979ff07579cc131995da5e4601e97d44290a0c4fc6c4db89
examples/multichannel/glitch_multichannel_01.yaml	8	48000	48000	31f9579482ed1ee84f485223d83e55132d2f886402b5601d612f4afc0ee841de
examples/multichannel/glitch_multichannel_07.yaml	8	48000	48000	53748a2368292a59e6ba4d4548a5e8b84ab3f6da8625a11b7104ad618477111c
examples/multichannel/glitch_multichannel_08.yaml	8	48000	48000	32fc1d61f962ca3836f4a6e737ebb45e70cc8014b6ec8b9027c1c797a6c28724
examples/multichannel/glitch_multichannel_09.yaml	8	48000	48000	e08b8d39dd99ed3a895b15b1ad56e75355696f59e5f0e039d0a031437529bc98
examples/multichannel/glitch_multichannel_17.yaml	8	48000	48000	4e3c7cd48ee06b0ec0e369c00871fae6e2598cb0ba0b5abbb168197ccf8663cc
examples/multichannel/glitch_multichannel_20.yaml	8	48000	48000	929a6a832a43f1b5c1ecd9f13c09af4c01ec694dc2dcee07d02a8b180d08c216
examples/multichannel/glitch_multichannel_28.yaml	8	48000	48000	e2e3cea1625f84c32552745b2fa07b32b1fdd4d34236b550a875c2df66751671
examples/multichannel/glitch_multichannel_33.yaml	8	48000	48000	140f63efc4dbf4a2461835036e595d719f3308be9e6d228e95e74ffbb992fe08
examples/multichannel/glitch_multichannel_36.yaml	8	48000	48000	49a333df30b2ef388059fa9ce76a433af2cba3f0aad52da87fe876c1ff70c96e
examples/multichannel/glitch_multichannel_44.yaml	8	48000	48000	21706c7c2b2695b46cb3808995f9661f4ea0021596d92ce97680289b19f291df
examples/multichannel/mpe_multichannel_12.yaml	8	48000	48000	0b31a2dad3787e40f769126f1d3a0660f48b20b11800fb0effa40285f67b63e5
examples/multichannel/mpe_multichannel_14.yaml	8	48000	48000	a5cd348920d88849edde88eeef6a616e23cbb17ecc8c30591d97b0918244eec1
examples/multichannel/mpe_multichannel_25.yaml	8	48000	48000	11a42762b1a44397cd6f5365e45981b2518c9ba811660163299614a82b270643
examples/multichannel/mpe_multichannel_43.yaml	8	48000	48000	5c5ec4c0b3f924f9c70afbd0d33ba5a376e67c04e76fe9588cc5cefd794b0fb2
examples/multichannel/mpe_multichannel_48.yaml	8	48000	48000	1749ecb42f45b2acc4e6cb689d4f9b1ef76945df5003cbfe98e9838cb8f4b969
examples/multichannel/pitch_shift_multichannel_11.yaml	8	48000	48000	9fdeea14182d7c961e0359afc53a458f2fa54b082342ef1a0d372083539c382a
examples/multichannel/pitch_shift_multichannel_15.yaml	8	48000	48000	852119cd7c9c74b28469ff765986727afa9f54a3bb6a3daa8df1f03d40e9f896
examples/multichannel/pitch_shift_multichannel_16.yaml	8	48000	48000	782994dba93f9faf3fc0ab65718d6987c415c74026cd7ea29db8415597ed0ea8
examples/multichannel/pitch_shift_multichannel_23.yaml	8	48000	48000	6744513ef79c7634a0a07993c691f48d53b29c42cc1ebec27bdce9c5c3baa515
examples/multichannel/pitch_shift_multichannel_30.yaml	8	48000	48000	b4d6af7dcfa681bc6f7fd914dc69fbf14d1fed1ad939b671d1b689bb741bbaf1
examples/multichannel/pitch_shift_multichannel_46.yaml	8	48000	48000	9f5039926b613df9eadd243ba2a552caeb9890eef86ac8ff81007b1520cb0f83
examples/multichannel/rhythm_multichannel_26.yaml	8	48000	48000	80abdb0ce4f4e6216cbcc4117f5925b035469a6139cb26fb114b40165d79cb6e
examples/multichannel/rhythm_multichannel_32.yaml	8	48000	48000	3df84021633f9ce81ed9e48c9121727e0a828f9409a523ffaaf1250abde417c7
examples/multichannel/rhythm_multichannel_35.yaml	8	48000	48000	b838b53c80a173388a13ddad36e7040f85ad3f67e85b35c271a38d7a9f946ba7
examples/multichannel/rhythm_multichannel_37.yaml	8	48000	48000	f4b1b883e108223e0e29aabfa7c2868f625628b590a2fe42a04a616283387449
examples/multichannel/rhythm_multichannel_41.yaml	8	48000	48000	623d45e50678047b25e0165bf2130c6632f7a91c60b896b27f30c04a29de3dd3
examples/multichannel/rhythm_multichannel_45.yaml	8	48000	48000	79008e02f83d9204d0adf6408449cbbd55c3645d09cad83dbe11cb200432aeaa
examples/multichannel/rhythm_multichannel_47.yaml	8	48000	48000	6ef679fa73a6593dc9b2db12a45b0c08e3d56e1632450494a94ba9ae1954894a
examples/multichannel/rhythm_multichannel_49.yaml	8	48000	48000	ec9fcd9850218404d8f57b9e6c5dbc5bb81b9f3011d4a40b6ce5e6a267b5b728
examples/multichannel/texture_multichannel_05.yaml	8	48000	48000	618558abddd399e365aaf0c52b257ad15a0b8776c260f14756a48c58dd75ba96
examples/multichannel/texture_multichannel_10.yaml	8	48000	48000	0e4f3d9332ea903367fbd9d76e10e2c2c99d1dfa2fc26bb5775f506e72371478
examples/multichannel/texture_multichannel_18.yaml	8	48000	48000	65ec831c92f0154372529d96c10a87c6f49321e1b1233f9f1cd4182ed804e237
examples/multichannel/texture_multichannel_39.yaml	8	48000	48000	b778f8497f12174248c608151ec8cc0733e5dd44061eaa3054d23fac46ae1d85
examples/multichannel/texture_multichannel_40.yaml	8	48000	48000	1ffa6421f33b226253b1ee16737a417a00f6661821d0870388759b58cb54d3b5
examples/multichannel/texture_multichannel_42.yaml	8	48000	48000	d95cf2ccd05323888dfd70c2d03cab5221bba773924bca9c74c1d8d4891af96f
examples/multichannel/time_stretch_multichannel_06.yaml	8	48000	48000	27ebe3a02d6fd79a850797b002e90da7e2b548f4690fc048ee5fb60bb0c96a5d
examples/multichannel/time_stretch_multichannel_13.yaml	8	48000	48000	bb7955fa55fb7e21543d010f6853e9d5a0d7faec64f4f885d1ce0803ddacd056
examples/multichannel/time_stretch_multichannel_19.yaml	8	48000	48000	97468e9b3bf0aa9aa3ca37b461cdc924e4a864f0f66bd151f63b3d111c4d5839
